inserttime,MonitorAddress,每GURL量
2021-01-25 10:35:15+00:00,广东广州南方基地3.1栋203机房,
2021-01-25 10:36:12+00:00,广东广州南方基地3.1栋203机房,1271206.5367268892
2021-01-25 10:37:35+00:00,广东广州南方基地3.1栋203机房,1320684.0803980099
2021-01-25 10:37:47+00:00,广东广州南方基地3.1栋203机房,1291613.2944606415
2021-01-25 10:40:08+00:00,广东广州南方基地3.1栋203机房,1298469.1951273533
2021-01-25 10:45:15+00:00,广东广州南方基地3.1栋203机房,
2021-01-25 10:46:12+00:00,广东广州南方基地3.1栋203机房,1278969.5633736749
2021-01-25 10:47:35+00:00,广东广州南方基地3.1栋203机房,1304761.370899687
2021-01-25 10:47:47+00:00,广东广州南方基地3.1栋203机房,1288544.1704666524
2021-01-25 10:50:08+00:00,广东广州南方基地3.1栋203机房,1337683.004296184
2021-01-25 10:55:15+00:00,广东广州南方基地3.1栋203机房,
2021-01-25 10:56:12+00:00,广东广州南方基地3.1栋203机房,1276373.4249769868
2021-01-25 10:57:35+00:00,广东广州南方基地3.1栋203机房,1324217.570923776
2021-01-25 10:57:47+00:00,广东广州南方基地3.1栋203机房,1290519.9616891597
2021-01-25 11:00:08+00:00,广东广州南方基地3.1栋203机房,1253930.545090489
2021-01-25 11:05:15+00:00,广东广州南方基地3.1栋203机房,
2021-01-25 11:06:12+00:00,广东广州南方基地3.1栋203机房,1292140.9785093735
2021-01-25 11:07:35+00:00,广东广州南方基地3.1栋203机房,1315099.696999189
2021-01-25 11:07:47+00:00,广东广州南方基地3.1栋203机房,1275806.9164785554
2021-01-25 11:10:08+00:00,广东广州南方基地3.1栋203机房,1316665.16673745
2021-01-25 11:15:15+00:00,广东广州南方基地3.1栋203机房,
2021-01-25 11:16:12+00:00,广东广州南方基地3.1栋203机房,1290801.6349344978
2021-01-25 11:17:35+00:00,广东广州南方基地3.1栋203机房,1312931.711139711
